DATE,CUSTOMER,Sensor Type,Gain (mV/nA),SENSOR NUMBER,WE Zero (mV),Aux Zero (mV),WE Sensor (nA/ppm),Sensitivity (mV/ppb),ELECTRONIC ZERO ( WE )  (mV),ELECTRONIC ZERO ( AUX )  (mV)
21-May-19,Press Every Key UG,CO B4,0.8,162366947,362,357,583,0.466,360,358
21-May-19,Press Every Key UG,CO B4,0.8,162366946,348,345,584,0.467,341,348
21-May-19,Press Every Key UG,CO B4,0.8,162366945,358,341,541,0.433,357,344
21-May-19,Press Every Key UG,CO B4,0.8,162366944,351,355,521,0.417,342,354
21-May-19,Press Every Key UG,CO B4,0.8,162366943,348,356,592,0.474,347,360
21-May-19,Press Every Key UG,NO B4,0.8,160660562,345,339,684,0.547,280,293
21-May-19,Press Every Key UG,NO B4,0.8,160660561,380,328,720,0.576,299,284
21-May-19,Press Every Key UG,NO B4,0.8,160660559,352,324,642,0.514,289,283
21-May-19,Press Every Key UG,NO B4,0.8,160660557,356,332,635,0.508,277,284
21-May-19,Press Every Key UG,NO B4,0.8,160660558,363,335,655,0.524,302,291
21-May-19,Press Every Key UG,NO2 B43F,-0.73,202481260,221,232,-407,0.297,233,240
21-May-19,Press Every Key UG,NO2 B43F,-0.73,202481261,233,233,-416,0.304,244,239
21-May-19,Press Every Key UG,NO2 B43F,-0.73,202481262,204,221,-394,0.288,219,230
21-May-19,Press Every Key UG,NO2 B43F,-0.73,202481263,220,236,-403,0.294,235,241
21-May-19,Press Every Key UG,NO2 B43F,-0.73,202481259,228,224,-315,0.230,246,235
21-May-19,Press Every Key UG,OX B431,-0.73,204704459,225,206,-482,0.352,237,217
21-May-19,Press Every Key UG,OX B431,-0.73,204704462,207,226,-463,0.338,226,233
21-May-19,Press Every Key UG,OX B431,-0.73,204704461,230,213,-442,0.323,243,229
21-May-19,Press Every Key UG,OX B431,-0.73,204704463,201,217,-454,0.331,228,232
21-May-19,Press Every Key UG,OX B431,-0.73,204704464,198,212,-450,0.329,213,228
